MATERIALE DPI Mascherine chirurgiche adulto,4500,"€ 0,09","€ 405,00",0
MATERIALE DPI FFp2,1150,"€ 0,60","€ 690,00",0
SPEXPRESS SPEDIZIONE EXPRESS 24h,1,"€ 15,00","€ 15,00",0
Materiale DPI Ffp2 mask666 nere,100,"€ 1,00","€ 100,00",22
MASCHERINE KN95 MASCHERINE CHIRURGICHE ADULTO,200 pezzi,"€ 1,50",MASCHERINE KN95,200 pezzi,"€ 1,50","€ 300,00"
MASCHERINE CHIRURGICHE BAMBINO TERMOMETRO INFRAROSSI,1500 pezzi,"€ 0,30",MASCHERINE CHIRURGICHE ADULTO,1500 pezzi,"€ 0,30","€ 450,00"
,500 pezzi,"€ 0,30",MASCHERINE CHIRURGICHE BAMBINO,500 pezzi,"€ 0,30","€ 150,00"
,2 pezzi,"€ 35,00",TERMOMETRO INFRAROSSI,2 pezzi,"€ 35,00","€ 70,00"
GUANTI IN NITRILE TAGLIA M,10 pezzi,"€ 11,00",GUANTI IN NITRILE,10 pezzi,"€ 11,00","€ 110,00"
MASCHERINE CHIRURGICHE 20 CONF DA 50 MASCH. CHIR.,1000 pezzi,"€ 0,35",TAGLIA M,1000 pezzi,"€ 0,35","€ 350,00"
,,,MASCHERINE CHIRURGICHE,,,
,,,20 CONF DA 50 MASCH. CHIR.,,,
MATERIALE DPI Mascherine chirurgiche adulto,4000,"€ 0,17","€ 680,00"
SPEXPRESS CONSEGNA BRT,1,"€ 50,00","€ 50,00"
